output,species_title,row,image_path
dataset_overview_color_select_manifest,Pomme (Apple),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Apple___Apple_scab\cc62ab3a-f945-4aa3-add4-03887b49007a___FREC_Scab 2960.JPG
dataset_overview_color_select_manifest,Pomme (Apple),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Apple___Apple_scab\7bf25c0a-6594-4777-9a67-49a6487bb203___FREC_Scab 2993.JPG
dataset_overview_color_select_manifest,Maïs (Corn),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\137762d7-fcd5-405c-a4d5-4096321951d0___RS_GLSp 9345.JPG
dataset_overview_color_select_manifest,Maïs (Corn),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\a746eab2-b4d5-48f7-9dd6-9f9584a030f1___RS_GLSp 4328 copy.jpg
dataset_overview_color_select_manifest,Myrtille (Blueberry),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Blueberry___healthy\fcb0e2e2-7cb4-4886-9bc7-2c71c41e29eb___RS_HL 0635.JPG
dataset_overview_color_select_manifest,Myrtille (Blueberry),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Blueberry___healthy\7f02533d-22f1-489e-a2bd-a056b7cddc6f___RS_HL 2345.JPG
dataset_overview_color_select_manifest,Cerise (Cherry),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Cherry_(including_sour)___healthy\d1a34701-e731-4002-ba7b-84da2ebf12ad___JR_HL 4148.JPG
dataset_overview_color_select_manifest,Cerise (Cherry),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Cherry_(including_sour)___healthy\a2196e0d-52fc-4194-8127-98076bd3a6fc___JR_HL 4241.JPG
dataset_overview_color_select_manifest,Raisin (Grape),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Grape___Black_rot\54d291d6-7cfe-489a-b03e-d79a62fa158f___FAM_B.Rot 3265.JPG
dataset_overview_color_select_manifest,Raisin (Grape),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Grape___healthy\2fe405ca-8955-40a7-a2fb-526cd723548f___Mt.N.V_HL 8953.JPG
dataset_overview_color_select_manifest,Pomme de Terre (Potato),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Potato___Early_blight\7fb3dc5c-f90b-46fe-8eb6-2d21038976ff___RS_Early.B 7256.JPG
dataset_overview_color_select_manifest,Pomme de Terre (Potato),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Potato___Late_blight\de282779-9d54-4b8f-8292-e06c3e020e16___RS_LB 3971.JPG
dataset_overview_color_select_manifest,Soja (Soybean),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Soybean___healthy\471e7554-a87e-4b25-aad1-bf8adb50187a___RS_HL 4443.JPG
dataset_overview_color_select_manifest,Soja (Soybean),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Soybean___healthy\6f006d65-fd72-43b8-87b2-591635bd92cf___RS_HL 5062.JPG
dataset_overview_color_select_manifest,Fraise (Strawberry),0,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Strawberry___Leaf_scorch\fac15e1c-0f8e-4467-8bdb-9494e8bb431e___RS_L.Scorch 9915.JPG
dataset_overview_color_select_manifest,Fraise (Strawberry),1,C:\repository\datasciencetest_reco_plante\dataset\plantvillage\data\plantvillage dataset\color\Strawberry___healthy\07a3dfc9-da98-42e3-a237-f5fa518d1f3b___RS_HL 1711.JPG
