filepath,filename,extension,file_size,label,width,height,mode,num_channels,aspect_ratio,is_image_valid,is_black,is_na,hash,is_duplicate_after_first,species,disease,is_augmented
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00532378-bfb2-4d3b-8b19-903ecc085624___RS_HL 2021_final_masked.png,00532378-bfb2-4d3b-8b19-903ecc085624___RS_HL 2021_final_masked.png,png,86162,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,e01cb878d30a98272a28d6f8639bfad5,False,Strawberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/02808b3e-ae88-4259-9b2c-f9096db336e4___RS_HL 1827_final_masked.png,02808b3e-ae88-4259-9b2c-f9096db336e4___RS_HL 1827_final_masked.png,png,82311,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,24c213cda3b88ad20f1a92c4b129588a,False,Strawberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979_final_masked.png,01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979_final_masked.png,png,75641,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,27be47857cebd12056f088322357f4be,False,Strawberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667_final_masked.png,00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667_final_masked.png,png,93014,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,b227c6435deb5e9f7c42f2ef777859d1,False,Strawberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00166615-5e7b-4318-8957-5e50df335ee8___RS_HL 1785_final_masked.png,00166615-5e7b-4318-8957-5e50df335ee8___RS_HL 1785_final_masked.png,png,77047,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,ff5f78160ab325ec148660376a2df157,False,Strawberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Black_rot/003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184_final_masked.png,003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184_final_masked.png,png,82324,Grape___Black_rot,256,256,RGB,3,1.0,True,False,False,25a82007488980d02bfb3bc819dfefbc,False,Grape,Black_rot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Black_rot/006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470_final_masked.png,006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470_final_masked.png,png,72586,Grape___Black_rot,256,256,RGB,3,1.0,True,False,False,96175df0039be82911534c2a69100dfb,False,Grape,Black_rot,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_final_masked.png,001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_final_masked.png,png,94483,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,27a698df85c9b0f1ce49f473c829e572,False,Potato,Early_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_final_masked.png,0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_final_masked.png,png,82047,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,b3c5bbb81b056d208271797b70e09512,False,Potato,Early_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722_final_masked.png,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722_final_masked.png,png,93693,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,7d928a95cbe0fe822b93390c89f846b9,False,Potato,Early_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885_final_masked.png,009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885_final_masked.png,png,89725,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,fae8118f8d60cf401051c55308a55fa5,False,Potato,Early_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170_final_masked.png,002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170_final_masked.png,png,83195,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,5c1de64e22395b68a94fbb12ddceefc4,False,Potato,Early_blight,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Blueberry___healthy/011405e4-a92a-44b6-9f04-10fec28d93f5___RS_HL 2311_final_masked.png,011405e4-a92a-44b6-9f04-10fec28d93f5___RS_HL 2311_final_masked.png,png,54772,Blueberry___healthy,256,256,RGB,3,1.0,True,False,False,57b11efcc7a8cab68f863e0ed4bdc9f9,False,Blueberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Blueberry___healthy/008c85d0-a954-4127-bd26-861dc8a1e6ff___RS_HL 2431_final_masked.png,008c85d0-a954-4127-bd26-861dc8a1e6ff___RS_HL 2431_final_masked.png,png,43346,Blueberry___healthy,256,256,RGB,3,1.0,True,False,False,bd905fa9b1e86287d85421f5363914ea,False,Blueberry,healthy,False
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681_final_masked.png,00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681_final_masked.png,png,51456,Blueberry___healthy,256,256,RGB,3,1.0,True,False,False,1c2666abdd8d126293e4216ecae41eca,False,Blueberry,healthy,False
