filepath,filename,extension,file_size,label,width,height,mode,num_channels,aspect_ratio,is_image_valid,is_black,is_na,hash,is_duplicate_after_first,species,disease,is_augmented,phi1_distingue_large_vs_etroit,phi2_distinction_elongation_forme,phi3_asymetrie_maladie,phi4_symetrie_diagonale_forme,phi5_concavite_extremites,phi6_decalage_torsion_maladie,phi7_asymetrie_complexe,energie_basse_forme_feuille,energie_moyenne_texture_veines,energie_haute_details_maladie,hog_moyenne_contours_forme,hog_ecarttype_texture,pixel_ratio,leaf_segments,area,perimeter,circularity,solidity,extent,eccentricity,major_axis_length,minor_axis_length,compactness,fractal_dimension
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00532378-bfb2-4d3b-8b19-903ecc085624___RS_HL 2021_final_masked.png,00532378-bfb2-4d3b-8b19-903ecc085624___RS_HL 2021_final_masked.png,png,86162,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,e01cb878d30a98272a28d6f8639bfad5,False,Strawberry,healthy,False,0.0017363598344239666,3.5507461208083057e-07,3.971020297768822e-11,4.786743948417182e-11,-9.547007594258414e-22,-2.6831325337864212e-14,-1.8557728351696015e-21,0.9802778941379943,0.011277692993763294,0.008444412868242351,0.10666070663680662,0.11192850968599673,0.6251220703125,32.0,40298.0,1555.9940712451935,0.20915944501319056,0.9205185312089543,0.7490473800628265,,196.94610595703125,267.0549621582031,60.08034020919629,1.3726675239324488
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/02808b3e-ae88-4259-9b2c-f9096db336e4___RS_HL 1827_final_masked.png,02808b3e-ae88-4259-9b2c-f9096db336e4___RS_HL 1827_final_masked.png,png,82311,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,24c213cda3b88ad20f1a92c4b129588a,False,Strawberry,healthy,False,0.0014832809524959211,5.435301803158376e-10,3.598358857230672e-12,1.494875537931069e-11,-6.028435501771806e-23,-3.242071241505451e-16,-9.157627835823021e-23,0.9853143779786366,0.0073878380707737635,0.0072977839505893715,0.102173750982895,0.11198240847447231,0.59814453125,23.0,38727.0,1503.0823838710785,0.21540617538955711,0.9190953104233909,0.7582230401754249,,220.15277099609375,227.5505828857422,58.33802392913378,1.3611588581398675
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979_final_masked.png,01e591c9-e3e7-4edc-8211-13081f4d5e7a___RS_HL 1979_final_masked.png,png,75641,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,27be47857cebd12056f088322357f4be,False,Strawberry,healthy,False,0.0015864318864941863,1.460798857310694e-07,2.3256499187520886e-11,6.8208903123166715e-12,-1.6237008119992006e-23,-1.7379913560240249e-15,8.435964367873814e-23,0.9745364234272117,0.012219943751333309,0.013243632821454854,0.09585955106190527,0.10834307219406465,0.5410308837890625,22.0,35014.0,1400.4549672603607,0.22434339863728628,0.9045909008706435,0.6765467403485721,,187.3262176513672,243.2870330810547,56.0139976958993,1.3495800869045038
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667_final_masked.png,00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667_final_masked.png,png,93014,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,b227c6435deb5e9f7c42f2ef777859d1,False,Strawberry,healthy,False,0.0015716159840700582,5.6097915211067667e-08,2.055052893117383e-10,1.898824261660618e-12,7.596985474848444e-24,-4.371141742693755e-16,3.673188615593498e-23,0.9812470011398331,0.01180014608799631,0.006952852772170593,0.1088874931933871,0.10843874165075194,0.6459503173828125,26.0,41777.0,1508.312831878662,0.23076198313831095,0.8997167992936135,0.6771427645228216,,230.0851593017578,245.42977905273438,54.455982928640864,1.375690772218613
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Strawberry___healthy/00166615-5e7b-4318-8957-5e50df335ee8___RS_HL 1785_final_masked.png,00166615-5e7b-4318-8957-5e50df335ee8___RS_HL 1785_final_masked.png,png,77047,Strawberry___healthy,256,256,RGB,3,1.0,True,False,False,ff5f78160ab325ec148660376a2df157,False,Strawberry,healthy,False,0.001396843387973298,8.885155125176708e-08,1.0702235026260928e-11,8.250865258423333e-12,-5.994641860533292e-23,2.4218675312918805e-15,-4.917102908483572e-23,0.9840494502023891,0.009637970787657765,0.006312579009953158,0.09306872693260912,0.1115298943920735,0.5415191650390625,24.0,34785.5,1352.2712017297745,0.23904546865443954,0.9112950761693934,0.706046521068442,,193.51271057128906,233.7728271484375,52.568955542616564,1.344341114281871
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Black_rot/003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184_final_masked.png,003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184_final_masked.png,png,82324,Grape___Black_rot,256,256,RGB,3,1.0,True,False,False,25a82007488980d02bfb3bc819dfefbc,False,Grape,Black_rot,False,0.002063170210341201,3.0755210976328934e-07,8.666348225668304e-10,4.616200489593371e-11,-1.5587816056731589e-21,-8.455913604972645e-15,9.100514431810648e-21,0.9728489728013012,0.018592331137003402,0.00855869606169554,0.10025760394619672,0.11138966148556186,0.6001434326171875,52.0,38338.5,1859.9423364400864,0.1392662946963688,0.828313708544885,0.6239990234375,,210.818603515625,251.05746459960938,90.23267720130437,1.396473520184224
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Grape___Black_rot/006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470_final_masked.png,006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470_final_masked.png,png,72586,Grape___Black_rot,256,256,RGB,3,1.0,True,False,False,96175df0039be82911534c2a69100dfb,False,Grape,Black_rot,False,0.0015579825417124317,5.881819605736066e-09,1.4526491023375424e-10,1.8669971770417338e-11,2.4989195200309257e-22,9.634134885147684e-16,9.39628649865098e-22,0.9886126133742628,0.008020485948766596,0.0033669006769705564,0.09492630981990263,0.11471350740398606,0.564666748046875,30.0,36326.0,1694.2783420085907,0.15902226101538383,0.8522428678678678,0.6759205850064195,,216.7587890625,225.2857208251953,79.0227137642289,1.3895388091143328
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_final_masked.png,001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_final_masked.png,png,94483,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,27a698df85c9b0f1ce49f473c829e572,False,Potato,Early_blight,False,0.001229038975584459,5.312707514172501e-08,8.006111050056473e-11,6.862115243553874e-12,-1.5006198736615586e-22,-1.581423083188156e-15,5.789086703890021e-23,0.9846840934015183,0.009756488741250291,0.00555941785723172,0.10137176327807344,0.1101144826701391,0.6196441650390625,31.0,39996.0,1606.2539567947388,0.19480405944237353,0.8982516029780019,0.6249375,,207.24746704101562,255.2974853515625,64.50774511748061,1.3423715863028445
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_final_masked.png,0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_final_masked.png,png,82047,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,b3c5bbb81b056d208271797b70e09512,False,Potato,Early_blight,False,0.0012299833875865276,1.6729161831779994e-07,8.443102300343256e-11,1.001413712921772e-12,3.794609910645294e-24,-7.185781288188243e-17,8.389907554926084e-24,0.9850833992283226,0.00885861255311351,0.006057988218563925,0.09586745773071338,0.11162137905736837,0.555267333984375,35.0,35691.5,1518.9230035543442,0.1944030819044116,0.9049568965517242,0.6691821658917054,,184.86578369140625,259.70343017578125,64.64079937034168,1.3416554322798906
/Users/mackjb/repository/datasciencetest_reco_plante-1/dataset/plantvillage/clean_images/Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722_final_masked.png,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722_final_masked.png,png,93693,Potato___Early_blight,256,256,RGB,3,1.0,True,False,False,7d928a95cbe0fe822b93390c89f846b9,False,Potato,Early_blight,False,0.001448129316230042,5.409017692828498e-07,1.3816352015957028e-10,1.2658491732742786e-11,-4.564175042436173e-22,-8.622129028085067e-15,2.681957637179583e-22,0.9854095477187967,0.008444471990177695,0.006145980291025367,0.11119795298903724,0.10400425943591464,0.690460205078125,25.0,44549.0,1630.5971026420593,0.2105496341863756,0.9271576931882037,0.6797637939453125,,189.5403594970703,310.5353698730469,59.6836497148012,1.3515349752524939
