feature,mean_abs_shap
contour_density,0.011813163720318386
phi3,0.011074379109903736
hog_std,0.010391596898887136
area,0.009755681703011665
fft_entropy,0.007892905657327563
homogeneity,0.007769592388008359
eccentricity,0.006436385154217671
hog_entropy,0.006348961235179666
mean_R,0.006298646122785659
energy,0.005628601745977464
mean_S,0.005338329736575956
mean_B,0.004753536595472198
circularity,0.00450190997515796
dissimilarite,0.003929594638855349
correlation,0.003914410088532608
mean_H,0.0038104061076081456
phi2,0.0037102986433933055
perimeter,0.0037046066039939365
hog_mean,0.0035837327992865875
std_B,0.0031403371935580086
std_R,0.0030826553855860966
mean_G,0.0029024271640313223
std_G,0.0027702533769532744
aspect_ratio,0.002383829657764364
nettete,0.0022137858716335013
contrast,0.0019532030186813804
fft_high,0.0019039497110198739
mean_V,0.001884707745263985
fft_low,0.0018162218444008442
phi1,0.001491885530900779
fft_energy,0.0014448359064940972
phi4,0.0011897048858871058
phi6,0.0002436662539264797
phi7,5.70095625590177e-05
phi5,4.823847780205453e-05
