,precision,recall,f1-score,support
Apple,0.9957983193277311,0.9978947368421053,0.9968454258675079,475.0
Blueberry,0.995575221238938,1.0,0.9977827050997783,225.0
Cherry_(including_sour),1.0,0.993006993006993,0.9964912280701754,286.0
Corn_(maize),0.998272884283247,1.0,0.9991356957649092,578.0
Grape,1.0,0.9983579638752053,0.9991783073130649,609.0
Orange,1.0,1.0,1.0,826.0
Peach,0.9974937343358395,0.9974937343358395,0.9974937343358395,399.0
"Pepper,_bell",1.0,0.9973118279569892,0.9986541049798116,372.0
Potato,1.0,0.9907120743034056,0.995334370139969,323.0
Raspberry,1.0,1.0,1.0,56.0
Soybean,1.0,1.0,1.0,763.0
Squash,1.0,1.0,1.0,275.0
Strawberry,1.0,0.9957264957264957,0.9978586723768736,234.0
Tomato,0.9981684981684982,1.0,0.999083409715857,2725.0
accuracy,0.9987724036336852,0.9987724036336852,0.9987724036336852,0.9987724036336852
macro avg,0.9989506183824467,0.9978931304319311,0.9984184038331275,8146.0
weighted avg,0.998774798807305,0.9987724036336852,0.9987715133670464,8146.0
