,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9680851063829787,0.9837837837837838,94.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,41.0
Apple___Powdery_mildew,0.0,0.0,0.0,0.0
Apple___healthy,0.9919678714859438,1.0,0.9959677419354839,247.0
Blueberry___healthy,1.0,1.0,1.0,225.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158.0
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8554216867469879,0.922077922077922,0.8875,77.0
Corn_(maize)___Common_rust_,1.0,0.994413407821229,0.9971988795518207,179.0
Corn_(maize)___Northern_Leaf_Blight,0.9577464788732394,0.918918918918919,0.9379310344827586,148.0
Corn_(maize)___healthy,0.9942857142857143,1.0,0.997134670487106,174.0
Grape___Black_rot,1.0,0.9943502824858758,0.9971671388101983,177.0
Grape___Esca_(Black_Measles),0.9952153110047847,1.0,0.9976019184652278,208.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161.0
Grape___healthy,1.0,1.0,1.0,63.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Peach___Bacterial_spot,1.0,0.991304347826087,0.9956331877729258,345.0
Peach___Leaf_scorch,0.0,0.0,0.0,0.0
Peach___healthy,1.0,1.0,1.0,54.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,150.0
"Pepper,_bell___healthy",1.0,1.0,1.0,222.0
Potato___Early_blight,0.9933774834437086,1.0,0.9966777408637874,150.0
Potato___Late_blight,1.0,0.9666666666666667,0.9830508474576272,150.0
Potato___healthy,0.9583333333333334,1.0,0.9787234042553191,23.0
Raspberry___healthy,1.0,1.0,1.0,56.0
Soybean___healthy,1.0,1.0,1.0,763.0
Squash___Powdery_mildew,1.0,1.0,1.0,275.0
Strawberry___Leaf_scorch,0.9940119760479041,1.0,0.996996996996997,166.0
Strawberry___healthy,1.0,1.0,1.0,68.0
Tomato___Bacterial_spot,0.99375,0.9968652037617555,0.9953051643192489,319.0
Tomato___Early_blight,0.958904109589041,0.9333333333333333,0.9459459459459459,150.0
Tomato___Late_blight,0.9756944444444444,0.9825174825174825,0.9790940766550522,286.0
Tomato___Leaf_Mold,0.9722222222222222,0.9790209790209791,0.975609756097561,143.0
Tomato___Septoria_leaf_spot,0.9706959706959707,0.9962406015037594,0.9833024118738405,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9880952380952381,0.9920318725099602,0.9900596421471173,251.0
Tomato___Target_Spot,0.9805825242718447,0.957345971563981,0.9688249400479616,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9987577639751553,1.0,0.9993784959602238,804.0
Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,56.0
Tomato___healthy,0.987603305785124,1.0,0.9937629937629938,239.0
accuracy,0.992020623618954,0.992020623618954,0.992020623618954,0.992020623618954
macro avg,0.9391666358575165,0.9390293334902434,0.9390136397715481,8146.0
weighted avg,0.9923608424289192,0.992020623618954,0.9921446257911397,8146.0
