,precision,recall,f1-score,support
Apple,0.9875,0.9978947368421053,0.9926701570680628,475.0
Blueberry,0.995575221238938,1.0,0.9977827050997783,225.0
Cherry_(including_sour),0.9964912280701754,0.993006993006993,0.9947460595446584,286.0
Corn_(maize),0.998272884283247,1.0,0.9991356957649092,578.0
Grape,0.9983579638752053,0.9983579638752053,0.9983579638752053,609.0
Orange,0.9987908101571947,1.0,0.999395039322444,826.0
Peach,1.0,0.9849624060150376,0.9924242424242424,399.0
"Pepper,_bell",1.0,0.989247311827957,0.9945945945945946,372.0
Potato,0.9968354430379747,0.9752321981424149,0.9859154929577465,323.0
Raspberry,1.0,1.0,1.0,56.0
Soybean,0.9960732984293194,0.9973787680209698,0.9967256057629339,763.0
Squash,1.0,1.0,1.0,275.0
Strawberry,0.9873417721518988,1.0,0.9936305732484076,234.0
Tomato,0.9967045038447455,0.9988990825688073,0.9978005865102639,2725.0
accuracy,0.9966854898109502,0.9966854898109502,0.9966854898109502,0.9966854898109502
macro avg,0.9965673660777642,0.9953556757356778,0.9959413368695177,8146.0
weighted avg,0.9966984869599439,0.9966854898109502,0.9966796583153128,8146.0
