epoch,split,class_index,class_name,precision,recall,f1,support
1,val,0,Apple,0.968288,0.964211,0.966245,475
1,val,1,Blueberry,0.995556,0.995556,0.995556,225
1,val,2,Cherry_(including_sour),0.981550,0.930070,0.955117,286
1,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
1,val,4,Grape,0.993421,0.991790,0.992605,609
1,val,5,Orange,0.995169,0.997579,0.996372,826
1,val,6,Peach,0.987469,0.989950,0.988708,398
1,val,7,"Pepper,_bell",0.991736,0.970350,0.980926,371
1,val,8,Potato,0.989619,0.885449,0.934641,323
1,val,9,Raspberry,0.980000,0.875000,0.924528,56
1,val,10,Soybean,0.993412,0.986911,0.990151,764
1,val,11,Squash,0.992754,0.996364,0.994555,275
1,val,12,Strawberry,0.987124,0.978723,0.982906,235
1,val,13,Tomato,0.972411,0.997061,0.984582,2722
2,val,0,Apple,0.982796,0.962105,0.972340,475
2,val,1,Blueberry,0.995556,0.995556,0.995556,225
2,val,2,Cherry_(including_sour),0.968421,0.965035,0.966725,286
2,val,3,Corn_(maize),0.994836,1.000000,0.997412,578
2,val,4,Grape,0.985437,1.000000,0.992665,609
2,val,5,Orange,0.990408,1.000000,0.995181,826
2,val,6,Peach,0.990025,0.997487,0.993742,398
2,val,7,"Pepper,_bell",0.994565,0.986523,0.990528,371
2,val,8,Potato,0.962264,0.947368,0.954758,323
2,val,9,Raspberry,1.000000,0.857143,0.923077,56
2,val,10,Soybean,0.975672,0.997382,0.986408,764
2,val,11,Squash,0.982143,1.000000,0.990991,275
2,val,12,Strawberry,0.987179,0.982979,0.985075,235
2,val,13,Tomato,0.992237,0.986040,0.989128,2722
3,val,0,Apple,0.962963,0.985263,0.973985,475
3,val,1,Blueberry,1.000000,0.991111,0.995536,225
3,val,2,Cherry_(including_sour),0.996296,0.940559,0.967626,286
3,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
3,val,4,Grape,1.000000,0.996716,0.998355,609
3,val,5,Orange,0.996381,1.000000,0.998187,826
3,val,6,Peach,0.990000,0.994975,0.992481,398
3,val,7,"Pepper,_bell",0.997290,0.991914,0.994595,371
3,val,8,Potato,0.993151,0.897833,0.943089,323
3,val,9,Raspberry,0.981132,0.928571,0.954128,56
3,val,10,Soybean,0.997361,0.989529,0.993430,764
3,val,11,Squash,0.992701,0.989091,0.990893,275
3,val,12,Strawberry,1.000000,0.982979,0.991416,235
3,val,13,Tomato,0.979445,0.997796,0.988535,2722
4,val,0,Apple,0.978903,0.976842,0.977871,475
4,val,1,Blueberry,0.995575,1.000000,0.997783,225
4,val,2,Cherry_(including_sour),0.992754,0.958042,0.975089,286
4,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
4,val,4,Grape,1.000000,0.996716,0.998355,609
4,val,5,Orange,1.000000,1.000000,1.000000,826
4,val,6,Peach,0.982673,0.997487,0.990025,398
4,val,7,"Pepper,_bell",0.994609,0.994609,0.994609,371
4,val,8,Potato,0.993355,0.925697,0.958333,323
4,val,9,Raspberry,1.000000,0.910714,0.953271,56
4,val,10,Soybean,0.994771,0.996073,0.995422,764
4,val,11,Squash,0.996350,0.992727,0.994536,275
4,val,12,Strawberry,1.000000,0.991489,0.995726,235
4,val,13,Tomato,0.985129,0.997796,0.991422,2722
5,val,0,Apple,0.982869,0.966316,0.974522,475
5,val,1,Blueberry,1.000000,1.000000,1.000000,225
5,val,2,Cherry_(including_sour),0.988930,0.937063,0.962298,286
5,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
5,val,4,Grape,0.996721,0.998358,0.997539,609
5,val,5,Orange,1.000000,0.998789,0.999394,826
5,val,6,Peach,0.990000,0.994975,0.992481,398
5,val,7,"Pepper,_bell",1.000000,0.975741,0.987722,371
5,val,8,Potato,0.996656,0.922601,0.958199,323
5,val,9,Raspberry,0.981481,0.946429,0.963636,56
5,val,10,Soybean,0.989583,0.994764,0.992167,764
5,val,11,Squash,0.996324,0.985455,0.990859,275
5,val,12,Strawberry,1.000000,0.982979,0.991416,235
5,val,13,Tomato,0.977346,0.998530,0.987825,2722
6,val,0,Apple,0.987448,0.993684,0.990556,475
6,val,1,Blueberry,1.000000,1.000000,1.000000,225
6,val,2,Cherry_(including_sour),1.000000,0.975524,0.987611,286
6,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
6,val,4,Grape,1.000000,1.000000,1.000000,609
6,val,5,Orange,1.000000,1.000000,1.000000,826
6,val,6,Peach,0.997494,1.000000,0.998745,398
6,val,7,"Pepper,_bell",1.000000,0.997305,0.998650,371
6,val,8,Potato,1.000000,0.947368,0.972973,323
6,val,9,Raspberry,1.000000,0.982143,0.990991,56
6,val,10,Soybean,1.000000,0.998691,0.999345,764
6,val,11,Squash,0.996364,0.996364,0.996364,275
6,val,12,Strawberry,1.000000,1.000000,1.000000,235
6,val,13,Tomato,0.991621,1.000000,0.995793,2722
7,val,0,Apple,0.989518,0.993684,0.991597,475
7,val,1,Blueberry,1.000000,1.000000,1.000000,225
7,val,2,Cherry_(including_sour),1.000000,0.979021,0.989399,286
7,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
7,val,4,Grape,1.000000,1.000000,1.000000,609
7,val,5,Orange,1.000000,1.000000,1.000000,826
7,val,6,Peach,0.997494,1.000000,0.998745,398
7,val,7,"Pepper,_bell",1.000000,0.997305,0.998650,371
7,val,8,Potato,0.996845,0.978328,0.987500,323
7,val,9,Raspberry,1.000000,1.000000,1.000000,56
7,val,10,Soybean,1.000000,1.000000,1.000000,764
7,val,11,Squash,0.996377,1.000000,0.998185,275
7,val,12,Strawberry,1.000000,1.000000,1.000000,235
7,val,13,Tomato,0.996338,0.999633,0.997983,2722
8,val,0,Apple,0.991614,0.995789,0.993697,475
8,val,1,Blueberry,1.000000,1.000000,1.000000,225
8,val,2,Cherry_(including_sour),1.000000,0.986014,0.992958,286
8,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
8,val,4,Grape,1.000000,1.000000,1.000000,609
8,val,5,Orange,1.000000,1.000000,1.000000,826
8,val,6,Peach,0.995000,1.000000,0.997494,398
8,val,7,"Pepper,_bell",1.000000,0.994609,0.997297,371
8,val,8,Potato,1.000000,0.962848,0.981073,323
8,val,9,Raspberry,1.000000,1.000000,1.000000,56
8,val,10,Soybean,1.000000,1.000000,1.000000,764
8,val,11,Squash,1.000000,1.000000,1.000000,275
8,val,12,Strawberry,1.000000,1.000000,1.000000,235
8,val,13,Tomato,0.994883,1.000000,0.997435,2722
9,val,0,Apple,0.995781,0.993684,0.994731,475
9,val,1,Blueberry,1.000000,1.000000,1.000000,225
9,val,2,Cherry_(including_sour),1.000000,0.989510,0.994728,286
9,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
9,val,4,Grape,1.000000,1.000000,1.000000,609
9,val,5,Orange,1.000000,1.000000,1.000000,826
9,val,6,Peach,0.995000,1.000000,0.997494,398
9,val,7,"Pepper,_bell",1.000000,1.000000,1.000000,371
