epoch,split,class_index,class_name,precision,recall,f1,support
1,val,0,Apple___Apple_scab,0.945652,0.915789,0.930481,95
1,val,1,Apple___Black_rot,0.978495,0.978495,0.978495,93
1,val,2,Apple___Cedar_apple_rust,1.000000,0.951220,0.975000,41
1,val,3,Apple___healthy,0.952756,0.983740,0.968000,246
1,val,4,Blueberry___healthy,0.978070,0.991111,0.984547,225
1,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.968354,0.983923,158
1,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
1,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.921569,0.610390,0.734375,77
1,val,8,Corn_(maize)___Common_rust_,1.000000,0.983240,0.991549,179
1,val,9,Corn_(maize)___Northern_Leaf_Blight,0.818182,0.972973,0.888889,148
1,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
1,val,11,Grape___Black_rot,0.946237,0.994350,0.969697,177
1,val,12,Grape___Esca_(Black_Measles),0.995025,0.961538,0.977995,208
1,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.993789,0.993789,0.993789,161
1,val,14,Grape___healthy,1.000000,0.968750,0.984127,64
1,val,15,Orange___Haunglongbing_(Citrus_greening),0.997585,1.000000,0.998791,826
1,val,16,Peach___Bacterial_spot,0.960452,0.988372,0.974212,344
1,val,17,Peach___healthy,1.000000,0.907407,0.951456,54
1,val,18,"Pepper,_bell___Bacterial_spot",0.936620,0.892617,0.914089,149
1,val,19,"Pepper,_bell___healthy",0.948052,0.986486,0.966887,222
1,val,20,Potato___Early_blight,0.875740,0.986667,0.927900,150
1,val,21,Potato___Late_blight,0.960000,0.800000,0.872727,150
1,val,22,Potato___healthy,0.739130,0.739130,0.739130,23
1,val,23,Raspberry___healthy,1.000000,0.964286,0.981818,56
1,val,24,Soybean___healthy,0.975641,0.997379,0.986390,763
1,val,25,Squash___Powdery_mildew,0.989209,1.000000,0.994575,275
1,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
1,val,27,Strawberry___healthy,0.985507,1.000000,0.992701,68
1,val,28,Tomato___Bacterial_spot,0.867816,0.946708,0.905547,319
1,val,29,Tomato___Early_blight,0.939024,0.513333,0.663793,150
1,val,30,Tomato___Late_blight,0.887324,0.884211,0.885764,285
1,val,31,Tomato___Leaf_Mold,0.972222,0.734266,0.836653,143
1,val,32,Tomato___Septoria_leaf_spot,0.911504,0.774436,0.837398,266
1,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.704871,0.980080,0.820000,251
1,val,34,Tomato___Target_Spot,0.787234,0.701422,0.741855,211
1,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.988520,0.963930,0.976071,804
1,val,36,Tomato___Tomato_mosaic_virus,0.739726,0.964286,0.837209,56
1,val,37,Tomato___healthy,0.875969,0.949580,0.911290,238
2,val,0,Apple___Apple_scab,0.975610,0.842105,0.903955,95
2,val,1,Apple___Black_rot,0.988889,0.956989,0.972678,93
2,val,2,Apple___Cedar_apple_rust,0.976190,1.000000,0.987952,41
2,val,3,Apple___healthy,0.904412,1.000000,0.949807,246
2,val,4,Blueberry___healthy,0.982533,1.000000,0.991189,225
2,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.968354,0.983923,158
2,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
2,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.857143,0.779221,0.816327,77
2,val,8,Corn_(maize)___Common_rust_,0.994444,1.000000,0.997214,179
2,val,9,Corn_(maize)___Northern_Leaf_Blight,0.888889,0.918919,0.903654,148
2,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
2,val,11,Grape___Black_rot,1.000000,0.971751,0.985673,177
2,val,12,Grape___Esca_(Black_Measles),0.976526,1.000000,0.988124,208
2,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.993827,1.000000,0.996904,161
2,val,14,Grape___healthy,1.000000,0.968750,0.984127,64
2,val,15,Orange___Haunglongbing_(Citrus_greening),0.995181,1.000000,0.997585,826
2,val,16,Peach___Bacterial_spot,0.985507,0.988372,0.986938,344
2,val,17,Peach___healthy,0.981481,0.981481,0.981481,54
2,val,18,"Pepper,_bell___Bacterial_spot",0.971223,0.906040,0.937500,149
2,val,19,"Pepper,_bell___healthy",0.940426,0.995495,0.967177,222
2,val,20,Potato___Early_blight,0.954545,0.980000,0.967105,150
2,val,21,Potato___Late_blight,0.951049,0.906667,0.928328,150
2,val,22,Potato___healthy,1.000000,0.695652,0.820513,23
2,val,23,Raspberry___healthy,0.982143,0.982143,0.982143,56
2,val,24,Soybean___healthy,0.992167,0.996068,0.994114,763
2,val,25,Squash___Powdery_mildew,0.996377,1.000000,0.998185,275
2,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
2,val,27,Strawberry___healthy,1.000000,0.985294,0.992593,68
2,val,28,Tomato___Bacterial_spot,0.904348,0.978056,0.939759,319
2,val,29,Tomato___Early_blight,0.824818,0.753333,0.787456,150
2,val,30,Tomato___Late_blight,0.948207,0.835088,0.888060,285
2,val,31,Tomato___Leaf_Mold,0.930233,0.839161,0.882353,143
2,val,32,Tomato___Septoria_leaf_spot,0.972826,0.672932,0.795556,266
2,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.826389,0.948207,0.883117,251
2,val,34,Tomato___Target_Spot,0.648084,0.881517,0.746988,211
2,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.993582,0.962687,0.977890,804
2,val,36,Tomato___Tomato_mosaic_virus,1.000000,0.875000,0.933333,56
2,val,37,Tomato___healthy,0.856061,0.949580,0.900398,238
3,val,0,Apple___Apple_scab,0.938144,0.957895,0.947917,95
3,val,1,Apple___Black_rot,0.989011,0.967742,0.978261,93
3,val,2,Apple___Cedar_apple_rust,1.000000,0.975610,0.987654,41
3,val,3,Apple___healthy,0.975904,0.987805,0.981818,246
3,val,4,Blueberry___healthy,1.000000,0.995556,0.997773,225
3,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.955696,0.977346,158
3,val,6,Cherry_(including_sour)___healthy,0.992248,1.000000,0.996109,128
3,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.760870,0.909091,0.828402,77
3,val,8,Corn_(maize)___Common_rust_,1.000000,0.994413,0.997199,179
3,val,9,Corn_(maize)___Northern_Leaf_Blight,0.947368,0.851351,0.896797,148
3,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
3,val,11,Grape___Black_rot,0.972376,0.994350,0.983240,177
3,val,12,Grape___Esca_(Black_Measles),0.995098,0.975962,0.985437,208
3,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
3,val,14,Grape___healthy,1.000000,0.968750,0.984127,64
3,val,15,Orange___Haunglongbing_(Citrus_greening),0.998791,1.000000,0.999395,826
