epoch,split,class_index,class_name,precision,recall,f1,support
1,val,0,Apple,0.983087,0.978947,0.981013,475
1,val,1,Blueberry,0.995575,1.000000,0.997783,225
1,val,2,Cherry_(including_sour),0.996350,0.954545,0.975000,286
1,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
1,val,4,Grape,0.996716,0.996716,0.996716,609
1,val,5,Orange,1.000000,1.000000,1.000000,826
1,val,6,Peach,0.961165,0.994975,0.977778,398
1,val,7,"Pepper,_bell",1.000000,0.973046,0.986339,371
1,val,8,Potato,0.972136,0.972136,0.972136,323
1,val,9,Raspberry,1.000000,0.910714,0.953271,56
1,val,10,Soybean,1.000000,0.992147,0.996058,764
1,val,11,Squash,0.996364,0.996364,0.996364,275
1,val,12,Strawberry,0.991379,0.978723,0.985011,235
1,val,13,Tomato,0.989071,0.997428,0.993232,2722
2,val,0,Apple,0.975258,0.995789,0.985417,475
2,val,1,Blueberry,0.995575,1.000000,0.997783,225
2,val,2,Cherry_(including_sour),0.996416,0.972028,0.984071,286
2,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
2,val,4,Grape,0.996727,1.000000,0.998361,609
2,val,5,Orange,1.000000,1.000000,1.000000,826
2,val,6,Peach,0.990000,0.994975,0.992481,398
2,val,7,"Pepper,_bell",1.000000,0.981132,0.990476,371
2,val,8,Potato,0.943620,0.984520,0.963636,323
2,val,9,Raspberry,1.000000,1.000000,1.000000,56
2,val,10,Soybean,0.994792,1.000000,0.997389,764
2,val,11,Squash,1.000000,1.000000,1.000000,275
2,val,12,Strawberry,1.000000,0.978723,0.989247,235
2,val,13,Tomato,0.997415,0.992285,0.994843,2722
3,val,0,Apple,0.963415,0.997895,0.980352,475
3,val,1,Blueberry,1.000000,1.000000,1.000000,225
3,val,2,Cherry_(including_sour),1.000000,0.965035,0.982206,286
3,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
3,val,4,Grape,0.996727,1.000000,0.998361,609
3,val,5,Orange,0.998791,1.000000,0.999395,826
3,val,6,Peach,1.000000,0.967337,0.983397,398
3,val,7,"Pepper,_bell",1.000000,0.989218,0.994580,371
3,val,8,Potato,0.987578,0.984520,0.986047,323
3,val,9,Raspberry,1.000000,0.982143,0.990991,56
3,val,10,Soybean,1.000000,0.994764,0.997375,764
3,val,11,Squash,1.000000,1.000000,1.000000,275
3,val,12,Strawberry,1.000000,0.987234,0.993576,235
3,val,13,Tomato,0.992695,0.998530,0.995604,2722
4,val,0,Apple,0.981328,0.995789,0.988506,475
4,val,1,Blueberry,1.000000,1.000000,1.000000,225
4,val,2,Cherry_(including_sour),1.000000,0.972028,0.985816,286
4,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
4,val,4,Grape,0.998358,0.998358,0.998358,609
4,val,5,Orange,1.000000,1.000000,1.000000,826
4,val,6,Peach,0.992481,0.994975,0.993726,398
4,val,7,"Pepper,_bell",1.000000,0.994609,0.997297,371
4,val,8,Potato,0.972561,0.987616,0.980031,323
4,val,9,Raspberry,1.000000,1.000000,1.000000,56
4,val,10,Soybean,0.996089,1.000000,0.998040,764
4,val,11,Squash,1.000000,1.000000,1.000000,275
4,val,12,Strawberry,1.000000,0.987234,0.993576,235
4,val,13,Tomato,0.996690,0.995591,0.996140,2722
5,val,0,Apple,0.983368,0.995789,0.989540,475
5,val,1,Blueberry,1.000000,1.000000,1.000000,225
5,val,2,Cherry_(including_sour),1.000000,0.961538,0.980392,286
5,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
5,val,4,Grape,1.000000,1.000000,1.000000,609
5,val,5,Orange,0.998791,1.000000,0.999395,826
5,val,6,Peach,0.997481,0.994975,0.996226,398
5,val,7,"Pepper,_bell",0.997305,0.997305,0.997305,371
5,val,8,Potato,0.969512,0.984520,0.976959,323
5,val,9,Raspberry,1.000000,1.000000,1.000000,56
5,val,10,Soybean,0.997389,1.000000,0.998693,764
5,val,11,Squash,1.000000,1.000000,1.000000,275
5,val,12,Strawberry,1.000000,0.995745,0.997868,235
5,val,13,Tomato,0.995957,0.995591,0.995774,2722
6,val,0,Apple,0.995807,1.000000,0.997899,475
6,val,1,Blueberry,1.000000,0.986667,0.993289,225
6,val,2,Cherry_(including_sour),1.000000,0.996503,0.998249,286
