epoch,split,class_index,class_name,precision,recall,f1,support
1,val,0,Apple,0.962185,0.964211,0.963197,475
1,val,1,Blueberry,1.000000,1.000000,1.000000,225
1,val,2,Cherry_(including_sour),0.988848,0.930070,0.958559,286
1,val,3,Corn_(maize),0.998273,1.000000,0.999136,578
1,val,4,Grape,0.995066,0.993432,0.994248,609
1,val,5,Orange,0.995175,0.998789,0.996979,826
1,val,6,Peach,0.989924,0.987437,0.988679,398
1,val,7,"Pepper,_bell",0.989101,0.978437,0.983740,371
1,val,8,Potato,0.989691,0.891641,0.938111,323
1,val,9,Raspberry,0.980000,0.875000,0.924528,56
1,val,10,Soybean,0.990838,0.990838,0.990838,764
1,val,11,Squash,0.992727,0.992727,0.992727,275
1,val,12,Strawberry,0.987234,0.987234,0.987234,235
1,val,13,Tomato,0.975882,0.995959,0.985818,2722
2,val,0,Apple,0.982869,0.966316,0.974522,475
2,val,1,Blueberry,0.995575,1.000000,0.997783,225
2,val,2,Cherry_(including_sour),0.975265,0.965035,0.970123,286
2,val,3,Corn_(maize),0.994836,1.000000,0.997412,578
2,val,4,Grape,0.990244,1.000000,0.995098,609
2,val,5,Orange,0.990408,1.000000,0.995181,826
2,val,6,Peach,0.990025,0.997487,0.993742,398
2,val,7,"Pepper,_bell",1.000000,0.978437,0.989101,371
2,val,8,Potato,0.950920,0.959752,0.955316,323
2,val,9,Raspberry,1.000000,0.892857,0.943396,56
2,val,10,Soybean,0.981959,0.997382,0.989610,764
2,val,11,Squash,0.985663,1.000000,0.992780,275
2,val,12,Strawberry,0.987234,0.987234,0.987234,235
2,val,13,Tomato,0.992242,0.986774,0.989501,2722
3,val,0,Apple,0.953157,0.985263,0.968944,475
3,val,1,Blueberry,1.000000,0.995556,0.997773,225
3,val,2,Cherry_(including_sour),0.996283,0.937063,0.965766,286
3,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
3,val,4,Grape,0.998355,0.996716,0.997535,609
3,val,5,Orange,0.998791,1.000000,0.999395,826
3,val,6,Peach,0.989873,0.982412,0.986129,398
3,val,7,"Pepper,_bell",0.997260,0.981132,0.989130,371
3,val,8,Potato,0.993127,0.894737,0.941368,323
3,val,9,Raspberry,1.000000,0.928571,0.962963,56
3,val,10,Soybean,0.994737,0.989529,0.992126,764
3,val,11,Squash,0.992674,0.985455,0.989051,275
3,val,12,Strawberry,1.000000,0.987234,0.993576,235
3,val,13,Tomato,0.977682,0.997796,0.987636,2722
4,val,0,Apple,0.978814,0.972632,0.975713,475
4,val,1,Blueberry,1.000000,0.995556,0.997773,225
4,val,2,Cherry_(including_sour),0.992727,0.954545,0.973262,286
4,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
4,val,4,Grape,1.000000,0.996716,0.998355,609
4,val,5,Orange,1.000000,1.000000,1.000000,826
4,val,6,Peach,0.982673,0.997487,0.990025,398
4,val,7,"Pepper,_bell",0.994565,0.986523,0.990528,371
4,val,8,Potato,0.996644,0.919505,0.956522,323
4,val,9,Raspberry,1.000000,0.892857,0.943396,56
4,val,10,Soybean,0.993473,0.996073,0.994771,764
4,val,11,Squash,0.996337,0.989091,0.992701,275
4,val,12,Strawberry,0.995763,1.000000,0.997877,235
4,val,13,Tomato,0.981923,0.997796,0.989796,2722
