,precision,recall,f1-score,support
Apple___Apple_scab,0.9894736842105263,1.0,0.9947089947089947,94.0
Apple___Bacterial_spot,0.0,0.0,0.0,0.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,41.0
Apple___healthy,1.0,0.9959514170040485,0.9979716024340771,247.0
Blueberry___healthy,0.995575221238938,1.0,0.9977827050997783,225.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158.0
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8765432098765432,0.922077922077922,0.8987341772151899,77.0
Corn_(maize)___Common_rust_,0.9888888888888889,0.994413407821229,0.9916434540389972,179.0
Corn_(maize)___Northern_Leaf_Blight,0.958041958041958,0.9256756756756757,0.9415807560137457,148.0
Corn_(maize)___healthy,0.9942857142857143,1.0,0.997134670487106,174.0
Grape___Black_rot,1.0,0.9943502824858758,0.9971671388101983,177.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,208.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161.0
Grape___healthy,1.0,1.0,1.0,63.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Peach___Bacterial_spot,1.0,0.9971014492753624,0.9985486211901307,345.0
Peach___healthy,0.9818181818181818,1.0,0.9908256880733946,54.0
"Pepper,_bell___Bacterial_spot",1.0,0.9933333333333333,0.9966555183946488,150.0
"Pepper,_bell___healthy",1.0,1.0,1.0,222.0
Potato___Early_blight,1.0,1.0,1.0,150.0
Potato___Late_blight,1.0,0.98,0.98989898989899,150.0
Potato___healthy,1.0,1.0,1.0,23.0
Raspberry___healthy,1.0,1.0,1.0,56.0
Soybean___healthy,1.0,1.0,1.0,763.0
Squash___Powdery_mildew,1.0,1.0,1.0,275.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,166.0
Strawberry___healthy,1.0,0.9852941176470589,0.9925925925925926,68.0
Tomato___Bacterial_spot,0.9968652037617555,0.9968652037617555,0.9968652037617555,319.0
Tomato___Early_blight,0.9470198675496688,0.9533333333333334,0.9501661129568106,150.0
Tomato___Late_blight,0.9858156028368794,0.972027972027972,0.9788732394366197,286.0
Tomato___Leaf_Mold,1.0,0.993006993006993,0.9964912280701754,143.0
Tomato___Septoria_leaf_spot,0.977859778597786,0.9962406015037594,0.9869646182495344,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9960159362549801,0.9960159362549801,0.9960159362549801,251.0
Tomato___Target_Spot,0.9716981132075472,0.976303317535545,0.9739952718676123,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9987577639751553,1.0,0.9993784959602238,804.0
Tomato___Tomato_mosaic_virus,0.9824561403508771,1.0,0.9911504424778761,56.0
Tomato___healthy,0.9875,0.9916317991631799,0.9895615866388309,239.0
accuracy,0.9933709796219004,0.9933709796219004,0.9933709796219004,0.9933709796219004
macro avg,0.9648362888434716,0.9653713114867685,0.9650669454571849,8146.0
weighted avg,0.9935551837581065,0.9933709796219004,0.9934421382896381,8146.0
