feature,mean_importance,mean_frequency,combined_score
fft_entropy,0.10299993202890757,1.0,0.5514999660144538
hog_entropy,0.06995902021629194,1.0,0.5349795101081459
homogeneity,0.061947728743686085,1.0,0.530973864371843
energy,0.05815744794952425,1.0,0.5290787239747621
mean_R,0.055768063893180043,1.0,0.5278840319465901
mean_B,0.055406727283689214,1.0,0.5277033636418446
hog_moyenne_contours_forme,0.04642004840397584,1.0,0.5232100242019879
circularity,0.052399672271546,0.8333333333333333,0.4428665028024396
area,0.07735062722515344,0.75,0.4136753136125767
eccentricity,0.07213372213710051,0.75,0.4110668610685503
contour_density,0.06061868078031715,0.75,0.4053093403901586
mean_G,0.02960415987524369,0.75,0.38980207993762184
mean_S,0.034498246264505115,0.6666666666666666,0.3505824564655859
phi3_asymetrie_maladie,0.03588072275479664,0.5833333333333333,0.3096070280440649
hog_ecarttype_texture,0.03639521713197145,0.5,0.26819760856598573
phi2_distinction_elongation_forme,0.02034227907600613,0.5,0.2601711395380031
energie_basse_forme_feuille,0.015588222675099895,0.5,0.2577941113375499
mean_V,0.014874258064303071,0.5,0.25743712903215155
phi1_distingue_large_vs_etroit,0.01535908320045987,0.41666666666666663,0.21601287493356325
std_B,0.01582775494653144,0.3333333333333333,0.17458054413993238
std_R,0.012415208058750274,0.25,0.13120760402937515
std_G,0.011243687194834867,0.25,0.13062184359741744
contrast,0.011110520126271393,0.25,0.1305552600631357
correlation,0.010996989668304319,0.25,0.13049849483415216
mean_H,0.010897491874734372,0.25,0.1304487459373672
fft_energy,0.006172871627686641,0.25,0.12808643581384332
perimeter,0.0056316165271288144,0.16666666666666666,0.08614914159689774
phi7_asymetrie_complexe,0.0,0.0,0.0
phi6_decalage_torsion_maladie,0.0,0.0,0.0
phi5_concavite_extremites,0.0,0.0,0.0
phi4_symetrie_diagonale_forme,0.0,0.0,0.0
energie_haute_details_maladie,0.0,0.0,0.0
dissimilarite,0.0,0.0,0.0
nettete,0.0,0.0,0.0
aspect_ratio,0.0,0.0,0.0
