,Apple,Blueberry,Cherry_(including_sour),Corn_(maize),Grape,Orange,Peach,"Pepper,_bell",Potato,Raspberry,Soybean,Squash,Strawberry,Tomato
Apple,0.59,0.07,0.03,0.0,0.01,0.03,0.03,0.07,0.05,0.02,0.05,0.01,0.01,0.03
Blueberry,0.03,0.89,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02
Cherry_(including_sour),0.02,0.0,0.78,0.01,0.0,0.07,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.01
Corn_(maize),0.0,0.0,0.0,0.96,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0
Grape,0.02,0.01,0.01,0.0,0.68,0.04,0.0,0.01,0.05,0.02,0.06,0.01,0.07,0.02
Orange,0.01,0.01,0.06,0.0,0.04,0.84,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0
Peach,0.06,0.01,0.04,0.02,0.0,0.0,0.81,0.04,0.0,0.0,0.0,0.01,0.0,0.01
"Pepper,_bell",0.05,0.01,0.07,0.02,0.06,0.01,0.03,0.65,0.0,0.0,0.04,0.01,0.0,0.05
Potato,0.01,0.01,0.01,0.0,0.04,0.01,0.01,0.0,0.8,0.02,0.01,0.02,0.01,0.05
Raspberry,0.04,0.04,0.013333333333333334,0.0,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.7866666666666666,0.013333333333333334,0.0,0.02666666666666667,0.04
Soybean,0.04,0.01,0.04,0.0,0.03,0.0,0.0,0.04,0.01,0.0,0.82,0.0,0.0,0.01
Squash,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.84,0.02,0.0
Strawberry,0.01,0.03,0.0,0.04,0.02,0.0,0.0,0.01,0.07,0.05,0.0,0.02,0.75,0.0
Tomato,0.02,0.1,0.02,0.01,0.05,0.06,0.06,0.08,0.03,0.01,0.0,0.0,0.01,0.55
