feature,importance
phi2_distinction_elongation_forme,0.026000167514613155
hog_ecarttype_texture,0.01949824505579484
fft_entropy,0.01872338457016876
energie_moyenne_texture_veines,0.01716982433561497
nettete,0.016999536416877854
contour_density,0.016688365133844862
hog_entropy,0.016543944868333032
mean_B,0.016534642189463794
energie_basse_forme_feuille,0.016371530895446313
pixel_ratio,0.016236701809691344
contrast,0.015989588439372426
hog_moyenne_contours_forme,0.015909933329357636
homogeneity,0.01585367065221784
std_G,0.015449461459079727
energy,0.015384391253189005
energie_haute_details_maladie,0.015344619310637556
dissimilarite,0.015295271919375408
mean_R,0.015215132360141877
mean_H,0.015019017446075667
major_axis_length,0.014821383151832693
correlation,0.014549641160375054
phi3_asymetrie_maladie,0.014464561830862739
mean_V,0.014374427083282277
phi4_symetrie_diagonale_forme,0.01419755157828101
mean_G,0.013935074445480344
std_B,0.013274719983659105
area,0.01175250117616041
mean_S,0.011394415451489188
perimeter,0.011329897964684752
std_R,0.011155999476042372
leaf_segments,0.011124548914941312
eccentricity,0.010986480432737231
extent,0.01090447912361787
phi1_distingue_large_vs_etroit,0.010835536627265179
solidity,0.010484823791822927
fractal_dimension,0.009902702800000038
minor_axis_length,0.009525663577885566
compactness,0.009216795683500922
circularity,0.00821273160775409
phi6_decalage_torsion_maladie,3.7981770265307895e-16
phi5_concavite_extremites,9.258865053642857e-21
phi7_asymetrie_complexe,3.0634959419332274e-22
